10101,1023,37
10102,1023,497
10103,1023,957
10104,1023,1417
10105,1023,1877
10201,1498,37
10202,1498,497
10203,1498,957
10204,1498,1417
10205,1498,1877
10301,2052,37
10302,2052,497
10303,2052,957
10304,2052,1417
10305,2052,1877
10401,2527,37
10402,2527,497
10403,2527,957
10404,2527,1417
10405,2527,1877
10501,3001,37
10502,3001,497
10503,3001,957
10504,3001,1417
10505,3001,1877
10601,3476,37
10602,3476,497
10603,3476,957
10604,3476,1417
10605,3476,1877
10701,4030,37
10702,4030,497
10703,4030,957
10704,4030,1417
10705,4030,1877
10801,4505,37
10802,4505,497
10803,4505,957
10804,4505,1417
10805,4505,1877
10901,4979,37
10902,4979,497
10903,4979,957
10904,4979,1417
10905,4979,1877
11001,5454,37
11002,5454,497
11003,5454,957
11004,5454,1417
11005,5454,1877
