10106,-4728,880
10107,-4728,1050
10108,-4728,1220
10109,-4728,1395
10110,-4728,1600
10111,-4728,1820
10112,-4728,2165
10201,-4560,0
10202,-4560,170
10203,-4560,340
10204,-4560,540
10205,-4560,710
10206,-4560,880
10207,-4560,1050
10208,-4560,1220
10209,-4560,1395
10210,-4560,1600
10211,-4560,1820
10212,-4560,2165
10301,-4392,0
10302,-4392,170
10303,-4392,340
10304,-4392,540
10305,-4392,710
10306,-4392,880
10307,-4392,1050
10308,-4392,1220
10309,-4392,1395
10310,-4392,1600
10311,-4392,1820
10312,-4392,2165
10401,-4224,0
10402,-4224,170
10403,-4224,340
10404,-4224,540
10405,-4224,710
10406,-4224,880
10407,-4224,1050
10408,-4224,1220
10409,-4224,1395
10410,-4224,1600
10411,-4224,1820
10412,-4224,2165
10501,-3988,0
10502,-3988,170
10503,-3988,340
10504,-3988,540
10505,-3988,710
10506,-3988,880
10507,-3988,1050
10508,-3988,1220
10509,-3988,1395
10510,-3988,1600
10511,-3988,1820
10512,-3988,2165
10601,-3820,0
10602,-3820,170
10603,-3820,340
10604,-3820,540
10605,-3820,710
10606,-3820,880
10607,-3820,1050
10608,-3820,1220
10609,-3820,1395
10610,-3820,1600
10611,-3820,1820
10612,-3820,2165
10701,-3652,0
10702,-3652,170
10703,-3652,340
10704,-3652,540
10705,-3652,710
10706,-3652,880
10707,-3652,1050
10708,-3652,1220
10709,-3652,1395
10710,-3652,1600
10711,-3652,1820
10712,-3652,2165
10801,-3484,0
10802,-3484,170
10803,-3484,340
10804,-3484,540
10805,-3484,710
10806,-3484,880
10807,-3484,1050
10808,-3484,1220
10809,-3484,1395
10810,-3484,1600
10811,-3484,1820
10812,-3484,2165
10901,-3208,0
10902,-3208,170
10903,-3208,340
10904,-3208,540
10905,-3208,710
10906,-3208,880
10907,-3208,1050
10908,-3208,1220
10909,-3208,1395
10910,-3208,1600
10911,-3208,1820
10912,-3208,2165
11001,-3040,0
11002,-3040,170
11003,-3040,340
11004,-3040,540
11005,-3040,710
11006,-3040,880
11007,-3040,1050
11008,-3040,1220
11009,-3040,1395
11010,-3040,1600
11011,-3040,1820
11012,-3040,2165
11101,-2872,0
11102,-2872,170
11103,-2872,340
11104,-2872,540
11105,-2872,710
11106,-2872,880
11107,-2872,1050
11108,-2872,1220
11109,-2872,1395
11110,-2872,1600
11111,-2872,1820
11112,-2872,2165
11201,-2704,0
11202,-2704,170
11203,-2704,340
11204,-2704,540
11205,-2704,710
11206,-2704,880
11207,-2704,1050
11208,-2704,1220
11209,-2704,1395
11210,-2704,1600
11211,-2704,1820
11212,-2704,2165
11301,-2468,0
11302,-2468,170
11303,-2468,340
11304,-2468,540
11305,-2468,710
11306,-2468,880
11307,-2468,1050
11308,-2468,1220
11309,-2468,1395
11310,-2468,1600
11311,-2468,1820
11312,-2468,2165
11401,-2300,0
11402,-2300,170
11403,-2300,340
11404,-2300,540
11405,-2300,710
11406,-2300,880
11407,-2300,1050
11408,-2300,1220
11409,-2300,1395
11410,-2300,1600
11411,-2300,1820
11412,-2300,2165
11501,-2132,0
11502,-2132,170
11503,-2132,340
11504,-2132,540
11505,-2132,710
11506,-2132,880
11507,-2132,1050
11508,-2132,1220
11509,-2132,1395
11510,-2132,1600
11511,-2132,1820
11512,-2132,2165
11601,-1964,0
11602,-1964,170
11603,-1964,340
11604,-1964,540
11605,-1964,710
11606,-1964,880
11607,-1964,1050
11608,-1964,1220
11609,-1964,1395
11610,-1964,1600
11611,-1964,1820
11612,-1964,2165
11701,-1688,0
11702,-1688,170
11703,-1688,340
11704,-1688,540
11705,-1688,710
11706,-1688,880
11707,-1688,1050
11708,-1688,1220
11709,-1688,1395
11710,-1688,1600
11711,-1688,1820
11712,-1688,2165
11801,-1520,0
11802,-1520,170
11803,-1520,340
11804,-1520,540
11805,-1520,710
11806,-1520,880
11807,-1520,1050
11808,-1520,1220
11809,-1520,1395
11810,-1520,1600
11811,-1520,1820
11812,-1520,2165
11901,-1352,0
11902,-1352,170
11903,-1352,340
11904,-1352,540
11905,-1352,710
11906,-1352,880
11907,-1352,1050
